step_code,mean,std,p95,count
STEP_001_ORDER_CONFIRMED,9.336780555555556,5.533647123677564,19.684166666666655,12000
STEP_002_FRAUD_CHECK,13.880358333333332,8.114054881587146,29.033333333333335,12000
STEP_003_PAYMENT_VERIFIED,210.88188055555557,128.53296737735306,446.9483333333326,12000
STEP_004_INVENTORY_RESERVED,9.421606944444445,5.652009179375671,19.984166666666656,12000
STEP_005_WAVE_PLANNED,9.289766666666667,5.505892864843185,19.61749999999999,12000
STEP_006_PICK_START,11.497194444444446,7.042451369826651,24.1,12000
STEP_007_PICK_COMPLETE,11.753708333333334,6.967691859297567,25.066666666666666,12000
STEP_008_REPLENISH_COMPLETE,9.219515277777777,5.513372742398913,19.533333333333335,12000
STEP_009_SORTATION_COMPLETE,14.18083888888889,9.537394839524925,30.034166666666657,12000
STEP_010_QC_COMPLETE,14.180504166666665,8.63898780242072,29.95,12000
STEP_011_PACKING_START,16.569980555555556,10.164515123097104,35.20083333333332,12000
STEP_012_LABEL_PRINT,16.448322222222224,9.89872867559601,35.23416666666665,12000
STEP_013_WEIGH_DIM_CHECK,13.88546527777778,8.330880685613815,29.334166666666654,12000
STEP_014_PACKING_COMPLETE,16.56866527777778,10.48702301037054,35.55,12000
STEP_015_MANIFEST_CREATED,9.296958333333333,5.548424873230768,19.733333333333334,12000
STEP_016_STAGING_COMPLETE,9.332123611111111,5.526545676880512,19.466666666666665,12000
STEP_017_DOCK_ASSIGN,9.337659722222222,5.674844030886374,19.800833333333323,12000
STEP_018_LOAD_TO_TRUCK,23.482338888888886,15.045048130056026,49.035833333333294,12000
STEP_019_GATE_OUT_WAREHOUSE,9.320709722222222,5.594901521993662,19.734166666666656,12000
STEP_020_HANDOFF_CARRIER,9.384830555555554,5.791562826965982,19.683333333333334,12000
STEP_021_CARRIER_ACCEPTED,9.32436388888889,5.6646073556252565,20.234166666666656,12000
STEP_022_DEPART_WAREHOUSE,9.366794444444444,5.514245990744974,19.984166666666656,12000
STEP_023_WAREHOUSE_CLOSEOUT,9.331929166666667,5.672006727733471,19.91749999999999,12000
