step_code,count,mean,median,max,step_label
STEP_001_ORDER_CONFIRMED,12000,9.336780555555556,8.033333333333333,74.01666666666667,Order Confirmed
STEP_002_FRAUD_CHECK,12000,13.880358333333332,12.0,130.81666666666666,Fraud Check
STEP_003_PAYMENT_VERIFIED,12000,210.88188055555557,179.75,2590.55,Payment Verified
STEP_004_INVENTORY_RESERVED,12000,9.421606944444445,8.066666666666666,59.983333333333334,Inventory Reserved
STEP_005_WAVE_PLANNED,12000,9.289766666666667,7.966666666666667,85.96666666666667,Wave Planned
STEP_006_PICK_START,12000,11.497194444444446,9.883333333333333,160.93333333333334,Pick Start
STEP_007_PICK_COMPLETE,12000,11.753708333333334,10.1,97.58333333333333,Pick Complete
STEP_008_REPLENISH_COMPLETE,12000,9.219515277777777,7.916666666666667,107.31666666666666,Replenish Complete
STEP_009_SORTATION_COMPLETE,12000,14.18083888888889,11.983333333333333,176.0,Sortation Complete
STEP_010_QC_COMPLETE,12000,14.180504166666665,12.1,120.66666666666667,Qc Complete
STEP_011_PACKING_START,12000,16.569980555555556,14.25,157.8,Packing Start
STEP_012_LABEL_PRINT,12000,16.448322222222224,14.1,107.93333333333334,Label Print
STEP_013_WEIGH_DIM_CHECK,12000,13.88546527777778,11.95,118.21666666666667,Weigh Dim Check
STEP_014_PACKING_COMPLETE,12000,16.56866527777778,14.066666666666666,173.9,Packing Complete
STEP_015_MANIFEST_CREATED,12000,9.296958333333333,8.016666666666667,73.7,Manifest Created
STEP_016_STAGING_COMPLETE,12000,9.332123611111111,8.1,86.46666666666667,Staging Complete
STEP_017_DOCK_ASSIGN,12000,9.337659722222222,8.0,76.15,Dock Assign
STEP_018_LOAD_TO_TRUCK,12000,23.482338888888886,20.15,603.3833333333333,Load To Truck
STEP_019_GATE_OUT_WAREHOUSE,12000,9.320709722222222,8.05,70.71666666666667,Gate Out Warehouse
STEP_020_HANDOFF_CARRIER,12000,9.384830555555554,8.0,87.01666666666667,Handoff Carrier
STEP_021_CARRIER_ACCEPTED,12000,9.32436388888889,7.933333333333334,66.21666666666667,Carrier Accepted
STEP_022_DEPART_WAREHOUSE,12000,9.366794444444444,8.066666666666666,53.6,Depart Warehouse
STEP_023_WAREHOUSE_CLOSEOUT,12000,9.331929166666667,8.016666666666667,100.15,Warehouse Closeout
