case_id,total_process_time_min
ORD_3310186211,2827.8666666666663
ORD_5940051628,1959.383333333333
ORD_6959848000,1810.0666666666666
ORD_8666032264,1636.9
ORD_9932813332,1459.4500000000007
ORD_5820008088,1448.6666666666667
ORD_2225162280,1419.8666666666663
ORD_0685870280,1386.6666666666667
ORD_9165155166,1371.1500000000003
ORD_5466692672,1364.5499999999997
ORD_9035998922,1362.2333333333333
ORD_3932697223,1359.8666666666666
ORD_0958897952,1342.0666666666666
ORD_4044565390,1314.9833333333338
ORD_7079317970,1310.7666666666664
ORD_9320772489,1305.933333333333
ORD_0637726353,1304.266666666667
ORD_8239597300,1262.9500000000005
ORD_3822066317,1215.8166666666664
ORD_3308764706,1208.6000000000001
ORD_1965155585,1171.9333333333334
ORD_9499417287,1169.6833333333334
ORD_9217467077,1169.3666666666668
ORD_7478872121,1165.1166666666663
ORD_9200615678,1162.916666666667
ORD_6188622723,1158.5666666666668
ORD_1068466586,1150.65
ORD_7742652413,1148.65
ORD_9303883695,1140.75
ORD_8842629717,1129.4499999999996
ORD_8744962294,1126.3666666666666
ORD_0524073317,1124.6833333333336
ORD_8380670153,1122.8000000000002
ORD_0628389272,1109.566666666667
ORD_2467592463,1108.15
ORD_9101354771,1092.8999999999999
ORD_5657894157,1085.1000000000004
ORD_6433320532,1084.4166666666667
ORD_1945243340,1083.8
ORD_2106664770,1082.0333333333335
ORD_8065721780,1080.8
ORD_9683337686,1078.1333333333334
ORD_7464836147,1069.5500000000002
ORD_3583538714,1068.9
ORD_9849834200,1066.4
ORD_8391264351,1066.2166666666662
ORD_6039256331,1058.7166666666665
ORD_4667702876,1056.6833333333334
ORD_2696121484,1056.6
ORD_8371021586,1048.6666666666667
ORD_2818958609,1047.8666666666668
ORD_4306951426,1047.7833333333333
ORD_6182770844,1045.5333333333333
ORD_4991013439,1044.3166666666666
ORD_8708040390,1043.8833333333334
ORD_4650529808,1042.2333333333333
ORD_5133805898,1041.9333333333334
ORD_1301287941,1036.6833333333334
ORD_8700008484,1036.6666666666663
ORD_5414434358,1035.9
ORD_8754620039,1035.6666666666667
ORD_7724777499,1032.4833333333333
ORD_1273007581,1029.7166666666667
ORD_6976949120,1029.5333333333333
ORD_3636685227,1027.2
ORD_8304355656,1025.5833333333333
ORD_6886636211,1023.5500000000001
ORD_7061824197,1019.8999999999999
ORD_6287198881,1018.85
ORD_7030457334,1014.8666666666663
ORD_2663867773,1014.7666666666668
ORD_8134917703,1012.4000000000001
ORD_3354614454,1012.0333333333335
ORD_5337336124,1009.5833333333331
ORD_4174585179,1008.5166666666664
ORD_6368934982,1007.8999999999999
ORD_2907838588,1007.6500000000001
ORD_1909180196,1006.7833333333335
ORD_7383150954,1006.2166666666665
ORD_7274209276,1002.1333333333334
ORD_7731353114,991.4166666666666
ORD_9700159829,990.9500000000002
ORD_0152702499,987.3499999999999
ORD_6734277131,985.983333333333
ORD_1886754855,980.2166666666667
ORD_7513571545,974.5833333333331
ORD_8560273330,972.7833333333331
ORD_5919506769,972.6833333333332
ORD_1585993916,971.3666666666666
ORD_1828973213,970.6500000000002
ORD_6579783751,968.4833333333331
ORD_0105562077,967.8166666666668
ORD_1349513298,967.1333333333333
ORD_0822147575,965.6666666666669
ORD_2971626733,963.766666666667
ORD_6776633655,963.5166666666668
ORD_7325591400,959.6500000000002
ORD_1656357816,959.5666666666666
ORD_9832040773,959.5
ORD_4793127066,959.0999999999999
ORD_8490118044,958.4333333333333
ORD_1738938836,955.1500000000004
ORD_4413487600,953.7166666666667
ORD_4509934231,952.9166666666664
ORD_7302699032,952.4666666666667
ORD_1179307874,950.0166666666662
ORD_6982413087,949.5500000000003
ORD_2341304886,948.0833333333334
ORD_7122352541,946.1500000000002
ORD_0459620912,943.2166666666666
ORD_5556334492,941.9000000000001
ORD_4494211043,940.6833333333333
ORD_6908704208,940.4000000000001
ORD_4485592552,939.4166666666666
ORD_6443847871,935.9000000000002
ORD_5499902825,935.5666666666665
ORD_1255213801,934.2
ORD_4070951087,932.95
ORD_7165826505,932.0666666666667
ORD_9336596859,931.9666666666668
ORD_5327188336,931.8333333333334
ORD_8932365230,931.5333333333335
ORD_6372848678,929.9166666666666
ORD_4735215693,929.9
ORD_6266406157,928.9000000000001
ORD_0885010747,927.3166666666666
ORD_9453666120,926.4666666666665
ORD_4953998544,924.5833333333333
ORD_1068916383,924.4000000000001
ORD_6092597545,924.3499999999999
ORD_9001820522,924.3166666666666
ORD_4679564837,924.0
ORD_7700052116,923.8499999999999
ORD_2603462867,922.5833333333336
ORD_8938250414,922.4166666666669
ORD_3648977048,921.6500000000001
ORD_4652998854,920.25
ORD_1897338214,920.2333333333332
ORD_0881651459,916.0833333333333
ORD_0117531863,915.9
ORD_5517721198,915.2333333333335
ORD_9913694730,915.2333333333332
ORD_7656449730,913.2666666666667
ORD_5630779150,912.9333333333332
ORD_4176790831,912.5999999999998
ORD_7737903265,911.8166666666665
ORD_7806834086,910.5666666666666
ORD_4197507457,910.5666666666664
ORD_0931717293,909.6666666666666
ORD_7889228657,908.666666666667
ORD_3134543567,907.7166666666667
ORD_3703551405,904.9166666666667
ORD_7024650872,902.9999999999999
ORD_8881263444,902.2499999999998
ORD_4762104019,901.8833333333336
ORD_7325430072,901.3666666666667
ORD_3690962525,900.2333333333332
ORD_9094712234,898.6166666666667
ORD_3492876694,897.4333333333335
ORD_0369539030,895.5000000000001
ORD_7744502398,893.8666666666667
ORD_4843298988,892.9000000000002
ORD_3705838747,892.7333333333333
ORD_0229009243,891.7666666666669
ORD_3535319874,891.5999999999998
ORD_0220069182,891.4333333333333
ORD_4127456377,890.6999999999999
ORD_2968142505,890.2166666666667
ORD_6741939175,890.0666666666666
ORD_2628388443,889.4000000000002
ORD_4439147837,888.7666666666667
ORD_9619121819,888.1999999999999
ORD_5105314649,886.0666666666667
ORD_9520141861,882.4166666666669
ORD_9557763341,881.3666666666663
ORD_0416454684,880.8499999999999
ORD_2772650772,880.6833333333333
ORD_0246579171,880.6333333333331
ORD_6923699645,879.4166666666666
ORD_1393265549,879.3833333333333
ORD_8138219839,879.3166666666668
ORD_2119637050,877.9333333333333
ORD_0323495924,877.85
ORD_2765498848,877.0833333333331
ORD_1858040330,876.3333333333333
ORD_7258580844,875.9
ORD_4323693531,874.9999999999999
ORD_1666289059,874.6999999999999
ORD_3294122510,872.8666666666664
ORD_6873850940,872.2166666666666
ORD_5662935345,872.1166666666664
ORD_2839172854,871.3833333333331
ORD_4513944027,870.4666666666669
ORD_3868172759,870.3000000000001
ORD_8547357173,866.8666666666668
ORD_1863815106,866.2833333333332
ORD_4822301702,865.7166666666667
ORD_9318948826,865.6333333333333
ORD_2146635682,865.4
ORD_9459207023,864.8666666666668
ORD_1600941604,862.9333333333334
ORD_9580601461,862.3333333333334
ORD_1651399366,860.9833333333333
ORD_7185595788,860.9666666666666
ORD_0603461077,857.9499999999999
ORD_6137382868,857.0000000000001
ORD_3899654454,853.8833333333333
ORD_5858156491,852.6166666666667
ORD_5603017308,851.35
ORD_6871077988,850.8833333333334
ORD_8773906274,849.4499999999998
ORD_4614809268,849.2166666666668
ORD_2543455046,849.2166666666667
ORD_5091036127,849.0000000000001
ORD_4560890224,848.4000000000001
ORD_8285927372,848.3999999999999
ORD_3588904701,847.65
ORD_5468088002,846.4999999999995
ORD_2208236247,846.3833333333331
ORD_9949288447,845.7166666666666
ORD_0354346216,845.1
ORD_4045581799,845.0666666666666
ORD_8458767981,845.05
ORD_7788854439,844.9666666666666
ORD_3706962027,844.75
ORD_4313127049,843.6166666666667
ORD_6808532138,843.2833333333333
ORD_6427122688,843.2166666666666
ORD_4765308488,843.1166666666663
ORD_6276684695,842.8499999999999
ORD_4605879385,841.4999999999998
ORD_4969023321,839.8999999999999
ORD_4120050264,839.7666666666667
ORD_0847529199,838.2666666666667
ORD_7548071837,838.1166666666667
ORD_3504163413,837.7999999999996
ORD_6389964291,837.6333333333336
ORD_3207704690,837.4833333333335
ORD_1638910478,837.45
ORD_4302013460,837.3833333333333
ORD_1321403556,836.8
ORD_2560254847,836.6166666666667
ORD_5681517162,835.7833333333333
ORD_8627845317,835.5666666666666
ORD_1494746140,835.3333333333336
ORD_9145824465,834.9833333333332
ORD_9762430526,834.9333333333335
ORD_3138635123,833.95
ORD_9983765570,833.8666666666669
ORD_9711163711,833.7999999999998
ORD_5856372214,833.5333333333332
ORD_1480081136,833.1666666666667
ORD_8008621300,832.7333333333333
ORD_7380961496,831.4499999999999
ORD_2523674977,831.1
ORD_1159075978,830.3333333333331
ORD_6573679957,829.9499999999998
ORD_5832675465,829.8333333333333
ORD_1671877528,829.5999999999999
ORD_8322514635,827.7666666666669
ORD_8559613894,826.7999999999997
ORD_1760739555,826.7833333333335
ORD_8487649361,826.7333333333333
ORD_9173619479,826.1833333333333
ORD_1399384285,825.9
ORD_5805951305,825.7833333333335
ORD_7220135423,825.2833333333333
ORD_6019685159,825.1500000000002
ORD_9888938032,824.8666666666666
ORD_1019722834,824.7
ORD_8288630650,824.5000000000002
ORD_1591087621,824.3999999999999
ORD_6002643080,823.4333333333334
ORD_6954028094,823.1333333333334
ORD_0405804119,822.3666666666666
ORD_8975922489,821.45
ORD_1786072311,821.0833333333333
ORD_9135914991,820.4666666666665
ORD_9052688573,820.3000000000002
ORD_6514320610,818.6666666666665
ORD_9857041730,818.3166666666668
ORD_4198479828,817.9166666666665
ORD_6312537108,816.9333333333335
ORD_6493289160,816.4000000000001
ORD_5226645053,815.9833333333333
ORD_6912625321,815.1500000000002
ORD_3980821246,814.0166666666667
ORD_2263426257,813.9499999999999
ORD_9377108864,813.3166666666666
ORD_6569755116,812.4666666666667
ORD_7923311428,812.3166666666666
ORD_5512008757,810.1666666666667
ORD_5095566441,807.85
ORD_4447010699,807.6166666666666
ORD_0517193384,806.8333333333331
ORD_8208512006,806.7666666666667
ORD_6927700314,806.6666666666667
ORD_4746604281,805.7333333333333
ORD_1036039071,804.6833333333332
ORD_7780467275,803.7166666666664
ORD_3463966231,803.4166666666669
ORD_4521376707,802.3666666666667
ORD_6031357732,801.3833333333336
ORD_8683314794,801.1833333333335
ORD_0146349870,800.8500000000001
ORD_9144117326,800.6500000000002
ORD_6301054976,800.0166666666664
ORD_1547892062,799.5666666666665
ORD_4948253258,799.3666666666664
ORD_9896406681,799.1666666666666
ORD_4154349940,798.95
ORD_7657946797,798.716666666667
ORD_0425668524,797.5166666666667
ORD_2276197858,796.5000000000003
ORD_5955619367,796.2
ORD_5317879265,796.1000000000001
ORD_0175707667,795.7666666666668
ORD_8102224156,795.6166666666666
ORD_7005856781,795.1000000000001
ORD_6224865006,794.9499999999999
ORD_6036528834,794.8666666666668
ORD_3964188877,794.7499999999999
ORD_4313127190,794.1833333333336
ORD_0847543009,793.8666666666667
ORD_9601585914,793.45
ORD_0957475001,793.4499999999999
ORD_6611827261,790.75
ORD_3235355805,790.0
ORD_4201320183,789.8999999999999
ORD_8589732704,789.4
ORD_5638608075,789.3666666666666
ORD_9635875229,789.0999999999999
ORD_9772347633,789.0166666666664
ORD_6986315438,788.8166666666664
ORD_3602074822,788.75
ORD_1569294836,788.4666666666667
ORD_4591857153,787.8000000000002
ORD_6450748841,787.5499999999997
ORD_3465863411,787.1166666666669
ORD_4300266666,786.6166666666663
ORD_9765837569,785.9166666666666
ORD_0801824413,785.6166666666667
ORD_7035277010,785.4666666666668
ORD_3371415448,785.4666666666667
ORD_8972770565,785.3499999999999
ORD_0614380151,785.2333333333333
ORD_2302097546,785.0999999999999
ORD_1289868548,784.6999999999997
ORD_0938502364,784.5833333333334
ORD_4295219999,784.3166666666665
ORD_5159749830,784.15
ORD_7062659804,783.6999999999998
ORD_4365727495,783.6499999999999
ORD_9752801072,782.9666666666669
ORD_9242649885,782.1166666666668
ORD_7420391227,781.3666666666668
ORD_3146607548,781.3666666666666
ORD_2384577293,780.7333333333333
ORD_6419829806,780.7166666666667
ORD_1445145996,780.0000000000003
ORD_5977260045,779.9999999999998
ORD_3000507102,779.6999999999998
ORD_2215051211,779.6833333333335
ORD_2455214178,779.6333333333333
ORD_2244372814,779.5333333333332
ORD_7234355889,778.9833333333335
ORD_7382194991,778.7333333333333
ORD_4917243593,778.6833333333333
ORD_3128643915,778.5166666666667
ORD_4739425838,778.2666666666667
ORD_0371762778,778.0833333333334
ORD_7842063711,778.066666666667
ORD_4779264505,778.0666666666667
ORD_1501747850,777.7333333333332
ORD_9128879255,777.2333333333331
ORD_5813936674,776.8500000000001
ORD_8680533606,776.7833333333335
ORD_5981919391,776.7
ORD_7118242811,776.4333333333332
ORD_6609545703,776.2166666666668
ORD_8534270443,776.0666666666666
ORD_0805732701,775.9000000000002
ORD_3756128100,775.55
ORD_2361498126,773.9166666666667
ORD_1141895862,773.8
ORD_4441859609,773.7833333333333
ORD_6545465413,773.6333333333334
ORD_4061239031,773.6166666666663
ORD_1464632903,772.8999999999999
ORD_1955682105,772.8666666666668
ORD_3226951521,772.8166666666665
ORD_3751484153,771.8999999999999
ORD_8421787591,771.7
ORD_5818156349,771.566666666667
ORD_4324880945,771.1499999999996
ORD_4252567469,770.7833333333333
ORD_2274399138,770.5999999999998
ORD_8072603961,770.5666666666665
ORD_2839111111,770.4833333333338
ORD_7454783736,770.4666666666668
ORD_9580874510,770.2666666666668
ORD_8016995791,770.2333333333333
ORD_1026334430,769.2166666666667
ORD_3299467129,768.5333333333335
ORD_7619940291,768.2333333333333
ORD_1222041659,768.1500000000001
ORD_6032885010,767.8833333333333
ORD_6528343805,767.2833333333334
ORD_9325981419,766.6333333333334
ORD_5772361172,766.1333333333333
ORD_8095846822,765.9666666666666
ORD_2053315512,765.5999999999999
ORD_1014540323,765.5833333333334
ORD_5328041009,765.5833333333333
ORD_2823512785,765.4166666666665
ORD_1734231731,765.1666666666666
ORD_1042859640,764.9333333333333
ORD_3292312184,764.8833333333334
ORD_2326667358,764.5166666666664
ORD_9570536983,762.9666666666667
ORD_5503879688,762.933333333333
ORD_5917006277,762.4333333333333
ORD_3083172560,762.1333333333332
ORD_6297857132,761.6999999999999
ORD_0387083062,761.4333333333334
ORD_3929013572,761.4333333333334
ORD_3022074163,760.8499999999999
ORD_2144967014,760.6499999999999
ORD_8773960126,759.6666666666665
ORD_7625577904,759.5833333333334
ORD_9940655874,759.3166666666666
ORD_6447284729,758.85
ORD_3718974867,758.6333333333337
ORD_4502889796,758.6333333333336
ORD_0156869042,758.4
ORD_3258103191,758.3499999999999
ORD_6186052698,758.2500000000002
ORD_2490764950,757.7166666666665
ORD_1845168130,757.3166666666666
ORD_6217233786,756.8333333333335
ORD_3291465504,756.4333333333333
ORD_8334116301,756.3500000000001
ORD_5359338295,756.0666666666666
ORD_1370958926,756.033333333333
ORD_6867418599,755.8500000000001
ORD_5120522970,755.6000000000001
ORD_7780571860,755.5333333333335
ORD_1758709544,755.4666666666667
ORD_6123561459,755.1666666666666
ORD_3475717946,754.0000000000001
ORD_4560791533,753.8833333333336
ORD_7858979665,753.3666666666664
ORD_9569616759,752.0
ORD_8504619986,752.0
ORD_2370540580,750.9000000000002
ORD_5052014819,750.9
ORD_7786949665,750.6499999999999
ORD_6242749074,750.4999999999998
ORD_6136314908,750.3333333333333
ORD_2447775215,750.1166666666666
ORD_9834051412,749.9333333333334
ORD_3618280559,749.883333333333
ORD_4268178622,749.6666666666666
ORD_6369639933,749.6500000000001
ORD_5584681259,749.6333333333333
ORD_8066611061,749.3833333333333
ORD_5873383858,748.7333333333333
ORD_1963743323,748.3333333333333
ORD_2075520758,747.8666666666667
ORD_4565591741,747.8333333333334
ORD_4553492518,747.65
ORD_9544683293,746.8333333333333
ORD_0390932021,746.8000000000002
ORD_8536433927,746.55
ORD_5297099696,746.5
ORD_7364660025,746.4333333333334
ORD_9133609279,746.3999999999997
ORD_9112445960,746.35
ORD_2658428835,746.3499999999999
ORD_9394823069,746.0666666666668
ORD_2985512597,745.9166666666665
ORD_5314268732,745.8499999999998
ORD_8968980184,744.8833333333333
ORD_5500015035,744.6333333333334
ORD_7091360166,744.6000000000001
ORD_0365157488,744.45
ORD_1610605340,744.3833333333333
ORD_6314775652,744.0500000000001
ORD_2602028581,743.3666666666667
ORD_4755615367,743.2499999999999
ORD_2754798774,743.0
ORD_4627419733,742.9166666666666
ORD_9290650774,742.8999999999999
ORD_6778459624,742.7
ORD_8490911777,742.3166666666667
ORD_5762810700,741.8666666666668
ORD_2676585355,741.6999999999999
ORD_8503703604,741.6999999999997
ORD_8622860625,741.5333333333331
ORD_8044376589,741.2
ORD_6945849301,741.0
ORD_7517156739,740.6
ORD_1436277128,740.45
ORD_4440760358,739.8833333333334
ORD_6235914640,739.1833333333335
ORD_0742557251,739.0666666666666
ORD_1741210230,738.9166666666669
ORD_7734374967,738.6333333333333
ORD_4645449101,738.4666666666666
ORD_1769726122,738.3666666666667
ORD_4316180590,738.1333333333332
ORD_0873613073,738.0666666666663
ORD_6932215914,737.75
ORD_2098150214,737.7166666666668
ORD_9826695580,737.4833333333332
ORD_0451876457,737.0166666666665
ORD_1244003318,737.0000000000001
ORD_9170713052,736.9166666666666
ORD_1721826628,736.8666666666664
ORD_9008328747,736.7833333333335
ORD_2892140029,736.5500000000001
ORD_1482425546,736.4833333333331
ORD_6004564999,736.2666666666667
ORD_8265952759,735.8
ORD_2420542546,735.4166666666669
ORD_4571841018,735.35
ORD_3094539293,735.3000000000002
ORD_8192066060,735.0999999999998
ORD_2143487435,734.6333333333333
ORD_9883458171,734.2333333333335
ORD_8198227253,734.1166666666669
ORD_0205790185,734.0333333333332
ORD_8652908438,733.9833333333333
ORD_2618418236,733.9333333333333
ORD_7922263697,733.7666666666667
