step_code,mean,std,p95,p99,missing_rate,step_label
STEP_001_ORDER_CONFIRMED,9.336780555555556,5.533416550243692,19.684166666666655,28.50016666666667,0.0,Order Confirmed
STEP_002_FRAUD_CHECK,13.880358333333332,8.11371678892334,29.033333333333335,42.234000000000016,0.0,Fraud Check
STEP_003_PAYMENT_VERIFIED,210.88188055555554,128.52761172546698,446.9483333333326,671.5450000000002,0.0,Payment Verified
STEP_004_INVENTORY_RESERVED,9.421606944444443,5.65177367408674,19.984166666666656,29.483666666666675,0.0,Inventory Reserved
STEP_005_WAVE_PLANNED,9.289766666666667,5.505663447860858,19.61749999999999,28.450166666666668,0.0,Wave Planned
STEP_006_PICK_START,11.497194444444442,7.042157928239427,24.1,36.28333333333333,0.0,Pick Start
STEP_007_PICK_COMPLETE,11.753708333333334,6.967401532754824,25.066666666666666,36.11716666666668,0.0,Pick Complete
STEP_008_REPLENISH_COMPLETE,9.219515277777777,5.513143013748543,19.533333333333335,28.216666666666665,0.0,Replenish Complete
STEP_009_SORTATION_COMPLETE,14.180838888888887,9.53699743979392,30.034166666666657,46.71966666666673,0.0,Sortation Complete
STEP_010_QC_COMPLETE,14.180504166666665,8.638627837096179,29.95,44.01783333333336,0.0,Qc Complete
STEP_011_PACKING_START,16.569980555555556,10.164091592809921,35.20083333333332,51.83416666666669,0.0,Packing Start
STEP_012_LABEL_PRINT,16.448322222222224,9.898316219974854,35.23416666666665,51.18433333333335,0.0,Label Print
STEP_013_WEIGH_DIM_CHECK,13.88546527777778,8.330533558353267,29.334166666666654,43.25016666666667,0.0,Weigh Dim Check
STEP_014_PACKING_COMPLETE,16.56866527777778,10.486586041974709,35.55,51.95050000000001,0.0,Packing Complete
STEP_015_MANIFEST_CREATED,9.296958333333333,5.548193684044501,19.733333333333334,28.551166666666692,0.0,Manifest Created
STEP_016_STAGING_COMPLETE,9.332123611111111,5.5263153993464424,19.466666666666665,28.166833333333336,0.0,Staging Complete
STEP_017_DOCK_ASSIGN,9.337659722222222,5.674607574125469,19.800833333333323,29.567333333333348,0.0,Dock Assign
STEP_018_LOAD_TO_TRUCK,23.482338888888886,15.044421239990106,49.035833333333294,73.51700000000001,0.0,Load To Truck
STEP_019_GATE_OUT_WAREHOUSE,9.320709722222222,5.594668396240027,19.734166666666656,28.91733333333335,0.0,Gate Out Warehouse
STEP_020_HANDOFF_CARRIER,9.384830555555556,5.7913215068205846,19.683333333333334,29.917500000000018,0.0,Handoff Carrier
STEP_021_CARRIER_ACCEPTED,9.32436388888889,5.664371325401374,20.234166666666656,28.834166666666682,0.0,Carrier Accepted
STEP_022_DEPART_WAREHOUSE,9.366794444444444,5.514016225708494,19.984166666666656,28.6,0.0,Depart Warehouse
STEP_023_WAREHOUSE_CLOSEOUT,9.331929166666667,5.671770389195989,19.91749999999999,29.084500000000023,0.0,Warehouse Closeout
