case_id,event_count,unique_step_count,has_receiving,has_putaway,has_picking,has_packing,has_qc,has_staging,has_handoff,has_shipped,first_start,last_end,total_duration_min,cycle_time_min,missing_pick_pack_pair,missing_staging,missing_shipped
ORD_0000312750,23,23,0,0,1,1,1,1,1,0,2025-05-21 16:52:24,2025-05-22 02:04:32,552.1333333333333,552.1333333333333,0,0,1
ORD_0000434015,23,23,0,0,1,1,1,1,1,0,2025-06-22 23:58:31,2025-06-23 07:48:50,470.31666666666666,470.31666666666666,0,0,1
ORD_0003576909,23,23,0,0,1,1,1,1,1,0,2025-05-14 08:05:24,2025-05-14 18:12:01,606.6166666666667,606.6166666666667,0,0,1
ORD_0003662246,23,23,0,0,1,1,1,1,1,0,2025-04-02 17:07:53,2025-04-02 22:27:50,319.95,319.95,0,0,1
ORD_0004464291,23,23,0,0,1,1,1,1,1,0,2025-04-21 23:55:17,2025-04-22 08:32:11,516.9,516.9,0,0,1
ORD_0005053777,23,23,0,0,1,1,1,1,1,0,2025-05-16 23:40:31,2025-05-17 06:56:36,436.0833333333333,436.0833333333333,0,0,1
ORD_0005511584,23,23,0,0,1,1,1,1,1,0,2025-06-13 13:20:39,2025-06-13 22:41:09,560.5,560.5,0,0,1
ORD_0006530047,23,23,0,0,1,1,1,1,1,0,2025-05-18 21:08:02,2025-05-19 08:23:22,675.3333333333334,675.3333333333334,0,0,1
ORD_0010627475,23,23,0,0,1,1,1,1,1,0,2025-06-09 15:35:38,2025-06-09 22:51:22,435.7333333333333,435.73333333333335,0,0,1
ORD_0010926443,23,23,0,0,1,1,1,1,1,0,2025-06-11 09:46:22,2025-06-11 16:18:26,392.06666666666666,392.06666666666666,0,0,1
ORD_0011350592,23,23,0,0,1,1,1,1,1,0,2025-06-27 20:47:36,2025-06-28 04:22:06,454.5,454.5,0,0,1
ORD_0012953663,23,23,0,0,1,1,1,1,1,0,2025-05-04 21:58:13,2025-05-05 08:21:53,623.6666666666667,623.6666666666666,0,0,1
ORD_0013133868,23,23,0,0,1,1,1,1,1,0,2025-05-23 10:00:41,2025-05-23 21:28:54,688.2166666666667,688.2166666666667,0,0,1
ORD_0014148851,23,23,0,0,1,1,1,1,1,0,2025-04-29 00:39:06,2025-04-29 08:10:54,451.8,451.8,0,0,1
ORD_0014275379,23,23,0,0,1,1,1,1,1,0,2025-06-16 23:30:35,2025-06-17 05:43:00,372.4166666666667,372.4166666666667,0,0,1
ORD_0015231940,23,23,0,0,1,1,1,1,1,0,2025-06-22 02:35:30,2025-06-22 13:06:28,630.9666666666667,630.9666666666667,0,0,1
ORD_0015275263,23,23,0,0,1,1,1,1,1,0,2025-06-20 11:41:23,2025-06-20 19:25:17,463.9,463.9,0,0,1
ORD_0015850954,23,23,0,0,1,1,1,1,1,0,2025-05-06 08:50:23,2025-05-06 17:32:21,521.9666666666667,521.9666666666667,0,0,1
ORD_0016987134,23,23,0,0,1,1,1,1,1,0,2025-04-09 21:05:16,2025-04-10 07:53:40,648.4,648.4,0,0,1
ORD_0017772566,23,23,0,0,1,1,1,1,1,0,2025-05-29 11:20:06,2025-05-29 17:51:48,391.7,391.7,0,0,1
ORD_0018881361,23,23,0,0,1,1,1,1,1,0,2025-05-16 00:42:57,2025-05-16 09:34:49,531.8666666666667,531.8666666666667,0,0,1
ORD_0019124482,23,23,0,0,1,1,1,1,1,0,2025-06-05 09:17:09,2025-06-05 20:43:53,686.7333333333333,686.7333333333333,0,0,1
ORD_0020802216,23,23,0,0,1,1,1,1,1,0,2025-04-01 10:48:42,2025-04-01 15:59:45,311.05,311.05,0,0,1
ORD_0022070780,23,23,0,0,1,1,1,1,1,0,2025-05-30 12:25:47,2025-05-30 19:29:17,423.5,423.5,0,0,1
ORD_0022961984,23,23,0,0,1,1,1,1,1,0,2025-05-30 19:26:07,2025-05-31 01:51:46,385.65,385.65,0,0,1
ORD_0023300112,23,23,0,0,1,1,1,1,1,0,2025-05-09 20:23:25,2025-05-10 06:08:58,585.5500000000001,585.55,0,0,1
ORD_0023350638,23,23,0,0,1,1,1,1,1,0,2025-06-14 13:04:29,2025-06-14 22:35:07,570.6333333333333,570.6333333333333,0,0,1
ORD_0024079966,23,23,0,0,1,1,1,1,1,0,2025-05-30 14:55:07,2025-05-30 22:21:27,446.33333333333337,446.3333333333333,0,0,1
ORD_0025145155,23,23,0,0,1,1,1,1,1,0,2025-06-17 10:14:13,2025-06-17 17:27:31,433.3,433.3,0,0,1
ORD_0026934629,23,23,0,0,1,1,1,1,1,0,2025-04-06 17:21:45,2025-04-07 00:22:57,421.2,421.2,0,0,1
ORD_0027054089,23,23,0,0,1,1,1,1,1,0,2025-06-22 18:09:36,2025-06-23 02:43:00,513.4,513.4,0,0,1
ORD_0028654808,23,23,0,0,1,1,1,1,1,0,2025-05-31 21:57:44,2025-06-01 04:53:03,415.31666666666666,415.31666666666666,0,0,1
ORD_0029042359,23,23,0,0,1,1,1,1,1,0,2025-05-27 02:41:37,2025-05-27 09:39:16,417.65000000000003,417.65,0,0,1
ORD_0029188322,23,23,0,0,1,1,1,1,1,0,2025-06-08 11:06:08,2025-06-08 18:29:56,443.8,443.8,0,0,1
ORD_0029302274,23,23,0,0,1,1,1,1,1,0,2025-06-01 22:04:26,2025-06-02 05:05:56,421.5,421.5,0,0,1
ORD_0029801773,23,23,0,0,1,1,1,1,1,0,2025-05-01 23:19:33,2025-05-02 07:27:53,488.3333333333333,488.3333333333333,0,0,1
ORD_0030074053,23,23,0,0,1,1,1,1,1,0,2025-04-11 22:33:34,2025-04-12 06:50:56,497.3666666666667,497.3666666666667,0,0,1
