case_id,cycle_time_min,total_process_time_min,avg_gap_to_next_min,max_gap_to_next_min,qc_ratio,staging_ratio,handoff_ratio,flag_large_internal_wait,flag_qc_heavy_case,flag_staging_heavy_case,qc_vs_staging_ratio_gap,staging_vs_handoff_ratio_gap,congestion_index
ORD_0000312750,552.1333333333333,552.1333333333333,0.0,0.0,0.07784955324800773,0.008874667954600339,0.023967640666505675,1,0,0,0.0689748852934074,-0.015092972711905336,0.08672422120260806
ORD_0000434015,470.31666666666666,470.31666666666666,0.0,0.0,0.09851518480456431,0.027959885183741453,0.021510329919557748,1,0,0,0.07055529962082285,0.006449555264183705,0.12647506998830577
ORD_0003576909,606.6166666666667,606.6166666666667,0.0,0.0,0.03838228425419678,0.02365579580734676,0.033244498172926344,1,0,0,0.014726488446850018,-0.009588702365579585,0.06203808006154354
ORD_0003662246,319.95,319.95,0.0,0.0,0.10402667083398448,0.0260978277855915,0.02583737042246184,1,0,0,0.07792884304839298,0.00026045736312965695,0.13012449861957598
ORD_0004464291,516.9,516.9,0.0,0.0,0.1037595924421229,0.009544076868510996,0.05068678661249759,1,0,0,0.09421551557361191,-0.041142709743986594,0.1133036693106339
ORD_0005053777,436.0833333333333,436.0833333333333,0.0,0.0,0.09428626027135487,0.02212879801261227,0.055150009554748705,1,0,0,0.07215746225874259,-0.033021211542136435,0.11641505828396714
ORD_0005511584,560.5,560.5,0.0,0.0,0.056645851917930416,0.010258697591436218,0.01653285756764793,1,0,0,0.0463871543264942,-0.006274159976211712,0.06690454950936664
ORD_0006530047,675.3333333333334,675.3333333333334,0.0,0.0,0.046051332675222115,0.013499506416584402,0.021298124383020728,1,0,0,0.032551826258637714,-0.007798617966436326,0.059550839091806515
ORD_0010627475,435.73333333333335,435.7333333333333,0.0,0.0,0.06219400244798043,0.010786413708690332,0.02321756425948593,1,0,0,0.0514075887392901,-0.012431150550795597,0.07298041615667077
ORD_0010926443,392.06666666666666,392.06666666666666,0.0,0.0,0.10321373916000681,0.03209488182281925,0.042424757694269684,1,0,0,0.07111885733718756,-0.010329875871450435,0.13530862098282606
ORD_0011350592,454.5,454.5,0.0,0.0,0.08657865786578658,0.049871653832049875,0.03333333333333333,1,0,1,0.03670700403373671,0.016538320498716542,0.13645031169783645
ORD_0012953663,623.6666666666666,623.6666666666667,0.0,0.0,0.06549973276322821,0.020096205237840725,0.015152324959914481,1,0,0,0.04540352752538748,0.004943880277926244,0.08559593800106893
ORD_0013133868,688.2166666666667,688.2166666666667,0.0,0.0,0.055941685031361245,0.018138667570774706,0.03165185382510352,1,0,0,0.037803017460586535,-0.013513186254328815,0.07408035260213595
ORD_0014148851,451.8,451.8,0.0,0.0,0.07625055334218682,0.012136638630662534,0.031134720377748264,1,0,0,0.06411391471152428,-0.01899808174708573,0.08838719197284936
ORD_0014275379,372.4166666666667,372.4166666666667,0.0,0.0,0.06551801297829492,0.011143432535242784,0.06448869993287089,1,0,0,0.054374580443052135,-0.053345267397628106,0.07666144551353771
ORD_0015231940,630.9666666666667,630.9666666666667,0.0,0.0,0.09134132812087273,0.029584235828622747,0.022452321834222622,1,0,0,0.06175709229224998,0.007131913994400125,0.12092556394949547
ORD_0015275263,463.9,463.9,0.0,0.0,0.06276496371344399,0.020334842279226845,0.028562190127182585,1,0,0,0.04243012143421715,-0.00822734784795574,0.08309980599267083
ORD_0015850954,521.9666666666667,521.9666666666667,0.0,0.0,0.09362028226578964,0.01679545309406731,0.024937735487579025,1,0,0,0.07682482917172233,-0.008142282393511713,0.11041573535985695
ORD_0016987134,648.4,648.4,0.0,0.0,0.08767735965453423,0.015473987250668312,0.043414558914250466,1,0,0,0.07220337240386591,-0.027940571663582152,0.10315134690520254
ORD_0017772566,391.7,391.7,0.0,0.0,0.10896944940856097,0.03893285677814654,0.04071993872861884,1,0,0,0.07003659263041442,-0.001787081950472301,0.14790230618670752
ORD_0018881361,531.8666666666667,531.8666666666667,0.0,0.0,0.06571195788418151,0.015605414890950114,0.04211581850087741,1,0,0,0.05010654299323139,-0.026510403609927295,0.08131737277513162
ORD_0019124482,686.7333333333333,686.7333333333333,0.0,0.0,0.05601397922531793,0.019245704300553345,0.04227744879137947,1,0,0,0.03676827492476459,-0.023031744490826126,0.07525968352587127
ORD_0020802216,311.05,311.05,0.0,0.0,0.17226598081766062,0.02454053474789691,0.03697154798263944,1,1,0,0.1477254460697637,-0.012431013234742532,0.19680651556555753
ORD_0022070780,423.5,423.5,0.0,0.0,0.03986619441164896,0.03148366784730421,0.05509641873278238,1,0,0,0.008382526564344746,-0.023612750885478165,0.07134986225895318
ORD_0022961984,385.65,385.65,0.0,0.0,0.14892605557716412,0.02160853969488742,0.08189636544362332,1,0,0,0.1273175158822767,-0.060287825748735896,0.17053459527205156
ORD_0023300112,585.55,585.5500000000001,0.0,0.0,0.08715452708279964,0.038823897759940794,0.01696410781885976,1,0,0,0.048330629322858844,0.021859789941081034,0.12597842484274044
ORD_0023350638,570.6333333333333,570.6333333333333,0.0,0.0,0.12091827793679538,0.024008411706291255,0.021116887668672236,1,0,0,0.09690986623050413,0.0028915240376190185,0.14492668964308664
ORD_0024079966,446.3333333333333,446.33333333333337,0.0,0.0,0.059970126960418216,0.010231516056758774,0.044025392083644505,1,0,0,0.04973861090365944,-0.03379387602688573,0.07020164301717699
ORD_0025145155,433.3,433.3,0.0,0.0,0.08416032002461728,0.0063081775521193935,0.0803138702977152,1,0,0,0.07785214247249789,-0.0740056927455958,0.09046849757673667
