case_id,total_duration_min,receiving_duration_min,putaway_duration_min,picking_duration_min,packing_duration_min,qc_duration_min,staging_duration_min,handoff_duration_min,receiving_ratio,putaway_ratio,picking_ratio,packing_ratio,qc_ratio,staging_ratio,handoff_ratio
ORD_0000312750,552.1333333333333,0.0,0.0,25.849999999999998,29.683333333333334,42.983333333333334,4.9,13.233333333333334,0.0,0.0,0.046818401352330355,0.05376116879980681,0.07784955324800773,0.008874667954600339,0.023967640666505675
ORD_0000434015,470.31666666666666,0.0,0.0,11.683333333333334,38.96666666666667,46.333333333333336,13.15,10.116666666666667,0.0,0.0,0.02484141890215812,0.0828519791629753,0.09851518480456431,0.027959885183741453,0.021510329919557748
ORD_0003576909,606.6166666666667,0.0,0.0,16.233333333333334,34.6,23.283333333333335,14.35,20.166666666666668,0.0,0.0,0.026760447289611782,0.05703766793966536,0.03838228425419678,0.02365579580734676,0.033244498172926344
ORD_0003662246,319.95,0.0,0.0,24.816666666666666,40.31666666666667,33.28333333333333,8.35,8.266666666666666,0.0,0.0,0.07756420274001147,0.12600927228212744,0.10402667083398448,0.0260978277855915,0.02583737042246184
ORD_0004464291,516.9,0.0,0.0,22.833333333333336,24.06666666666667,53.633333333333326,4.933333333333334,26.200000000000003,0.0,0.0,0.04417359901979752,0.04655961823692527,0.1037595924421229,0.009544076868510996,0.05068678661249759
ORD_0005053777,436.0833333333333,0.0,0.0,9.533333333333333,31.199999999999996,41.11666666666667,9.65,24.049999999999997,0.0,0.0,0.02186126504872922,0.07154595834129562,0.09428626027135487,0.02212879801261227,0.055150009554748705
ORD_0005511584,560.5,0.0,0.0,12.183333333333334,26.516666666666666,31.75,5.75,9.266666666666666,0.0,0.0,0.021736544751709785,0.047308950341956583,0.056645851917930416,0.010258697591436218,0.01653285756764793
ORD_0006530047,675.3333333333334,0.0,0.0,32.483333333333334,15.516666666666667,31.1,9.116666666666667,14.383333333333333,0.0,0.0,0.04809970384995064,0.022976307996051333,0.046051332675222115,0.013499506416584402,0.021298124383020728
ORD_0010627475,435.7333333333333,0.0,0.0,25.21666666666667,23.71666666666667,27.1,4.7,10.116666666666667,0.0,0.0,0.0578717870257038,0.054429314565483486,0.06219400244798043,0.010786413708690332,0.02321756425948593
ORD_0010926443,392.06666666666666,0.0,0.0,50.68333333333334,39.233333333333334,40.46666666666667,12.583333333333334,16.633333333333333,0.0,0.0,0.12927223261350113,0.10006801564359803,0.10321373916000681,0.03209488182281925,0.042424757694269684
