case_id,cycle_time_min,picking_touch_count,packing_touch_count,qc_touch_count,staging_touch_count,max_gap_to_next_min,picking_ratio,packing_ratio,qc_ratio,staging_ratio,flag_missing_staging,flag_missing_shipped,flag_pick_retouch,flag_pack_retouch,flag_qc_repeat,flag_staging_repeat,flag_large_internal_wait,flag_qc_heavy_case,flag_staging_heavy_case,issue_score
ORD_1043713816,590.6,2,2,3,1,0.0,0.03281973134665312,0.11948301162659442,0.2081216841629981,0.04856642961959589,0,1,0,0,1,0,1,1,1,5
ORD_5357367371,504.1666666666667,2,2,3,1,0.0,0.02740495867768595,0.08641322314049586,0.1826776859504132,0.058942148760330576,0,1,0,0,1,0,1,1,1,5
ORD_4294416707,481.48333333333335,2,2,3,1,0.0,0.06282668143584062,0.03361140918688774,0.16899165772439337,0.05178441621378379,0,1,0,0,1,0,1,1,1,5
ORD_3706785170,398.51666666666665,2,2,3,1,0.0,0.05750491405629208,0.04746769269373929,0.17397850361758185,0.07498640792940488,0,1,0,0,1,0,1,1,1,5
ORD_1216747377,382.8833333333333,2,2,3,1,0.0,0.09115048099943414,0.06773168502154704,0.16240804422583033,0.047621120445740656,0,1,0,0,1,0,1,1,1,5
ORD_8710800229,381.6666666666667,2,2,3,1,0.0,0.0482532751091703,0.0385589519650655,0.17013100436681222,0.06720524017467248,0,1,0,0,1,0,1,1,1,5
ORD_3258053465,380.1333333333333,2,2,3,1,0.0,0.04551034724658015,0.06787092248333919,0.2037443002455279,0.06120659417748158,0,1,0,0,1,0,1,1,1,5
ORD_5840170108,377.0833333333333,2,2,3,1,0.0,0.07323756906077347,0.10391160220994476,0.16892817679558012,0.055425414364640886,0,1,0,0,1,0,1,1,1,5
ORD_2986440715,374.81666666666666,2,2,3,1,0.0,0.043843656898928364,0.17701987638400996,0.19920850193427897,0.0462448308061719,0,1,0,0,1,0,1,1,1,5
ORD_5539331289,369.7,2,2,3,1,0.0,0.17022811288432063,0.0920115408890091,0.188395996754125,0.048778288702551624,0,1,0,0,1,0,1,1,1,5
ORD_6055107534,369.4166666666667,2,2,3,1,0.0,0.03789758628468306,0.08639747349424769,0.18001353485224453,0.0494473268666817,0,1,0,0,1,0,1,1,1,5
ORD_1595449677,367.45,2,2,3,1,0.0,0.03882614414659591,0.16528325849321904,0.1837891776658956,0.05393023994194222,0,1,0,0,1,0,1,1,1,5
ORD_0664978407,361.8,2,2,3,1,0.0,0.06416989128431914,0.06582826607702229,0.16344204901418832,0.05684540261654689,0,1,0,0,1,0,1,1,1,5
ORD_8069598129,359.95,2,2,3,1,0.0,0.03819974996527296,0.083344909015141,0.1669676343936658,0.06732416539334167,0,1,0,0,1,0,1,1,1,5
ORD_2168089547,359.78333333333336,2,2,3,1,0.0,0.03932922592300922,0.06948626488164174,0.15759484875156346,0.051327187659239354,0,1,0,0,1,0,1,1,1,5
