case_id,anomaly_score,is_train_anomaly
ORD_6003586467,0.7338703875723206,True
ORD_9973000099,0.7138319967277734,True
ORD_4024479908,0.7044669236848022,True
ORD_1202976557,0.678807558186312,True
ORD_3429959931,0.6781041104754472,True
ORD_2196558300,0.6764686801994146,True
ORD_9592427444,0.6763051110598677,True
ORD_2353136424,0.6708143099867923,True
ORD_1378853394,0.6616891275870267,True
ORD_6588539542,0.6574443703306674,True
ORD_7024650872,0.6390088747708362,True
ORD_4184062092,0.6379907438653178,True
ORD_3534250077,0.6377237503323443,True
ORD_2060697347,0.6367629169803714,True
ORD_6579634373,0.6328864917874809,True
ORD_1231040481,0.6318849481922867,True
ORD_5821176077,0.6304776824166572,True
ORD_3150415265,0.6250521910451405,True
ORD_7566950089,0.6250234942164654,True
ORD_3424964033,0.6230929312065693,True
ORD_2702812447,0.6174596363165311,True
ORD_5314268732,0.6152563728490179,True
ORD_6136765460,0.6134839880779301,True
ORD_4306951426,0.6102008829158667,True
ORD_3703551405,0.6064370537738656,True
ORD_8337753785,0.6056046480542813,True
ORD_2299945416,0.6053584644453414,True
ORD_2639386264,0.6044797405842978,True
ORD_9730026919,0.6044713452340876,True
ORD_1566160407,0.6026980486849397,True
ORD_2112906291,0.6005004407443314,True
ORD_8773197441,0.5980444680315079,True
ORD_4399774767,0.5977114936909915,True
ORD_6491875042,0.5972465847414364,True
ORD_1145839665,0.5966934291630701,True
ORD_5385540044,0.5944747464814486,True
ORD_7510137831,0.5942367927341978,True
ORD_1033487982,0.5939489330268528,True
ORD_4023516721,0.5924760562395175,True
ORD_7358696977,0.5876049195001286,True
ORD_4295978098,0.5871903141872344,True
ORD_5875279780,0.5854813358194335,True
ORD_7288085004,0.5852820671550351,True
ORD_9545359729,0.5851496152540487,True
ORD_0735048545,0.5842890860584314,True
ORD_2256307830,0.5832265462314112,True
ORD_2277956335,0.5816906768366503,True
ORD_3722280112,0.5812776582831195,True
ORD_3986853154,0.580562749829524,True
ORD_0237888010,0.5789967515163689,True
ORD_7319113728,0.5779644561109325,True
ORD_8030526590,0.5779481960021815,True
ORD_3747445109,0.5778153659821604,True
ORD_8544984141,0.5774436199616052,True
ORD_9293721262,0.576993116019396,True
ORD_4983394762,0.5769727683494511,True
ORD_0125932577,0.5767491661790342,True
ORD_2683899352,0.5755118243170911,True
ORD_5773968202,0.575067329695153,True
ORD_8964664705,0.5750336598840603,True
ORD_7776641399,0.5749027363892274,True
ORD_2388371340,0.5747005800559198,True
ORD_7791984154,0.5745346698021683,True
ORD_5025721517,0.5737965161758578,True
ORD_5056106041,0.5724953941568813,True
ORD_5583132722,0.5723644243677852,True
ORD_1319682550,0.572233915731947,True
ORD_9536806183,0.5720505550026795,True
ORD_2449187198,0.5713711809489181,True
ORD_4001677025,0.5709703839126319,True
ORD_6237422892,0.5707272189559773,True
ORD_6887334967,0.5696398613415591,True
ORD_2524643052,0.5687397313231233,True
ORD_5431600969,0.5682232203507452,True
ORD_9519508680,0.5678888052244155,True
ORD_0386429168,0.5678519622263355,True
ORD_4026338773,0.5671376197551717,True
ORD_8432983830,0.5668646255161819,True
ORD_9319444878,0.5668483987730033,True
ORD_5027996011,0.563839429343491,True
ORD_4084927571,0.563644103074613,True
ORD_5869487865,0.5635316996694735,True
ORD_6081338126,0.56270508941956,True
ORD_2523666858,0.5620252421921388,True
ORD_1021116486,0.5616743438803893,True
ORD_5378804264,0.5614999469803393,True
ORD_1717677029,0.5607653422081247,True
ORD_5671369808,0.5602489319691755,True
ORD_1101494297,0.5592945749937974,True
ORD_0738495894,0.559005693722498,True
ORD_6036601607,0.5588871040290299,True
ORD_6804613547,0.5584606412140843,True
ORD_4451126376,0.5576989849548051,True
ORD_2676585355,0.5574358023650302,True
ORD_2539609314,0.5573846432644183,True
ORD_2056836448,0.5573750307469071,True
ORD_7394711799,0.5573741724830741,True
ORD_1112237409,0.5572287747104167,True
ORD_6522008815,0.5566672200910755,True
ORD_1159722552,0.5564434537887792,True
ORD_3226951521,0.5559639707016311,True
ORD_0328924222,0.5556463545240286,True
ORD_3149017220,0.5555235310362637,True
ORD_0563837508,0.5555013983857909,True
ORD_8914943838,0.5548507526010674,True
ORD_4074043672,0.5547195726807251,True
ORD_5559280892,0.5546508659684677,True
ORD_0820825853,0.554421540381909,True
ORD_6940763545,0.5543921001916232,True
ORD_4328863772,0.5542708502852188,True
ORD_4239588266,0.5537139008028199,True
ORD_4023565150,0.5534958204656764,True
ORD_2857613441,0.5532591612751979,True
ORD_2229423608,0.5526161129966175,True
ORD_1418397243,0.5526027744388466,True
ORD_4806503770,0.5525965340726426,True
ORD_9901606028,0.5522151336844909,True
ORD_2364944847,0.5521990282136634,True
ORD_0257004828,0.5520595093927361,True
ORD_7908444009,0.5520043260898733,True
ORD_3756128100,0.5502722163080114,True
ORD_8755510702,0.5495477287045999,True
ORD_1805980815,0.5492661116732317,True
ORD_3473367478,0.5491223163380322,True
ORD_8881263444,0.549054528390773,True
ORD_9923717504,0.548713753991703,True
ORD_5875799591,0.5482031711712178,True
ORD_0072637699,0.5475325179382051,True
ORD_1183196625,0.5472989366952182,True
ORD_8100344578,0.5463661246918716,True
ORD_5277225601,0.5460239621793543,True
ORD_1513803192,0.544896240090636,True
ORD_7693089080,0.5443947926610259,True
ORD_0212471817,0.5434650512706349,True
ORD_8657899918,0.5431398665791638,True
ORD_5029212711,0.543035604824399,True
ORD_3290905217,0.5427922159613614,True
ORD_7155539975,0.5423909417049486,True
ORD_3062955519,0.5423680482939961,True
ORD_6355330203,0.5421033863089664,True
ORD_6886045565,0.5419250513710563,True
ORD_5806482326,0.5418591732533261,True
ORD_9813841498,0.5418388079801576,True
ORD_3302469697,0.5417189316666308,True
ORD_4933999204,0.541666451906429,True
ORD_0849035155,0.5415564192882356,True
ORD_2478045163,0.5411006804649836,True
ORD_1354613860,0.5406050839511101,True
ORD_0881581555,0.5405012052004566,True
ORD_2184274983,0.540342487049346,True
ORD_2998523720,0.5396421857461046,True
ORD_5101621569,0.5392555608407423,True
ORD_9520141861,0.5391877138710314,True
ORD_4193556054,0.5387703032356617,True
ORD_2213127193,0.5385119819440697,True
ORD_9766521359,0.538268002797093,True
ORD_3632840225,0.5379488503943194,True
ORD_2589966171,0.5378648336672138,True
ORD_1003098618,0.5374608900287673,True
ORD_0646022125,0.5369900019952204,True
ORD_4642758404,0.5368669572776003,True
ORD_4631133974,0.5364028011219985,True
ORD_4667702876,0.5361287631379309,True
ORD_9006879356,0.5360196853206415,True
ORD_8676776692,0.5354853279612789,True
ORD_3457368201,0.5346726307735064,True
