case_id,cycle_time_min,decl_to_release_min,duty_to_release_min,release_to_handover_min,release_ratio,handover_duration_min,handover_touch_count,has_release,has_handover,long_clearance_lag_flag,missing_release_flag,missing_handover_flag,release_gate_index
ORD_0000312750,2671.5666666666666,2555.4166666666665,1298.45,834.5,0.30867031829014185,9.866666666666667,1,1,1,0,0,0,0.956523637815514
ORD_0005053777,2308.8333333333335,2224.5,1349.9666666666667,812.1166666666667,0.3498953295315094,4.266666666666667,1,1,1,0,0,0,0.9634736158232873
ORD_0005511584,2836.5666666666666,2690.3166666666666,1410.1166666666666,1168.0833333333333,0.4086806820451955,8.833333333333334,1,1,1,0,0,0,0.9484411906412682
ORD_0010926443,2115.0666666666666,1986.9,1019.9166666666666,861.4166666666666,0.3998849524049675,15.633333333333333,1,1,1,0,0,0,0.9394030133013932
ORD_0015231940,2599.9,2458.7166666666667,1354.0333333333333,935.7,0.35775093913868483,5.583333333333333,1,1,1,0,0,0,0.9456966293575394
ORD_0015850954,2981.383333333333,2833.2,1759.7,949.9833333333333,0.30964932385972954,26.8,1,1,1,0,0,0,0.9502971215822632
ORD_0017772566,3139.866666666667,3014.5,1068.0,756.8,0.23778079748609282,10.2,1,1,1,0,0,0,0.9600726145483884
ORD_0019124482,4181.65,4058.6833333333334,1115.0833333333333,790.95,0.18738217370336274,7.383333333333334,1,1,1,1,0,0,0.9705937448933636
ORD_0020802216,2957.616666666667,2849.866666666667,1623.4,1294.8,0.43669734076424144,3.216666666666667,1,1,1,0,0,0,0.9635686391632903
ORD_0023350638,2395.3166666666666,2335.0833333333335,1533.35,1076.9333333333334,0.44676765076294717,6.783333333333333,1,1,1,0,0,0,0.974853707582157
ORD_0027054089,2278.15,2121.1666666666665,1160.6333333333334,859.3333333333334,0.366108465202028,25.283333333333335,1,1,1,0,0,0,0.9310917484215993
ORD_0031601088,2782.866666666667,2691.266666666667,1447.8666666666666,1213.6666666666667,0.430311669022351,16.166666666666668,1,1,1,0,0,0,0.967084301559543
ORD_0031939877,2516.15,2430.1833333333334,1068.6166666666666,935.8833333333333,0.36951957024289755,6.116666666666666,1,1,1,0,0,0,0.965834045400049
ORD_0033102991,2628.0833333333335,2536.6,1022.1333333333333,683.7333333333333,0.2558581983067508,11.316666666666666,1,1,1,0,0,0,0.9651900941750958
ORD_0033309900,2622.4333333333334,2473.5,956.3666666666667,633.9,0.23641528859964664,13.916666666666666,1,1,1,0,0,0,0.9432079620708502
ORD_0033728910,2026.4833333333333,1941.0833333333333,1016.6166666666667,649.85,0.31681319856236995,7.833333333333333,1,1,1,0,0,0,0.9578580299204698
ORD_0033843843,3010.4333333333334,2891.2166666666667,1489.7333333333333,869.5166666666667,0.2850032664179022,11.533333333333333,1,1,1,0,0,0,0.9603988351621583
ORD_0035664246,2258.116666666667,2125.4166666666665,1104.5833333333333,517.6166666666667,0.22647191243440332,6.216666666666667,1,1,1,0,0,0,0.9412342143526684
ORD_0039272451,3915.9666666666667,3825.866666666667,1679.8333333333333,1131.4333333333334,0.2864086347347185,9.866666666666667,1,1,1,0,0,0,0.9769916325470935
ORD_0042569135,3377.6,3248.8333333333335,1152.05,405.3666666666667,0.11840261329543661,5.45,1,1,1,0,0,0,0.9618762829622612
ORD_0043857406,2780.6833333333334,2686.8333333333335,1347.1333333333334,1078.1666666666667,0.38293345160961634,13.35,1,1,1,0,0,0,0.9662493032288226
ORD_0044545562,3793.65,3648.7,1801.6833333333334,1456.0,0.3787645143858817,19.1,1,1,1,0,0,0,0.9617914146007143
ORD_0046356598,2103.65,1998.4166666666667,945.9666666666667,629.1666666666666,0.2951378160181906,8.3,1,1,1,0,0,0,0.9499758356507341
ORD_0047759506,2587.616666666667,2468.3166666666666,1136.65,903.05,0.34676697346979524,5.75,1,1,1,0,0,0,0.95389579857913
ORD_0048229801,2947.6,2806.266666666667,1482.5333333333333,1170.1666666666667,0.3921099651694034,14.383333333333333,1,1,1,0,0,0,0.9520513864386847
ORD_0051150364,3316.35,3192.0333333333333,1181.55,728.3833333333333,0.2171765143405652,8.15,1,1,1,0,0,0,0.9625140088752192
ORD_0052122110,3821.633333333333,3687.45,1511.3,1063.75,0.2772287590820679,4.283333333333333,1,1,1,0,0,0,0.9648884857259985
ORD_0052551721,2515.0666666666666,2396.9166666666665,1062.3666666666666,723.2,0.2844457403382283,7.8,1,1,1,0,0,0,0.9530231140327625
ORD_0054345018,2850.15,2729.1666666666665,932.7666666666667,612.5833333333334,0.21252097842803597,6.866666666666666,1,1,1,0,0,0,0.9575519417106702
ORD_0055419138,2858.2166666666667,2772.2,1105.2,538.3,0.18261969876321482,16.333333333333332,1,1,1,0,0,0,0.9699054771914888
ORD_0056138917,2180.15,2038.4333333333334,1024.0833333333333,749.4833333333333,0.3395561467483124,9.2,1,1,1,0,0,0,0.9349968274354211
ORD_0056622231,3721.9333333333334,3598.1833333333334,1521.45,1157.8666666666666,0.3072104103602071,14.45,1,1,1,0,0,0,0.9667511508355873
