top_step_name,case_count,avg_deviation_p95,avg_duration_min
STEP_001_DOC_RECEIVED,260,1.1091923076923076,52.6264
STEP_002_DOC_VALIDATION,297,1.1654377104377105,35.13758585858586
STEP_003_HS_CLASSIFICATION,291,1.1231168384879726,54.2543058419244
STEP_004_SUBMIT_DECLARATION,276,1.11743115942029,55.964844202898554
STEP_005_RISK_CHANNELING,275,1.121098181818182,55.10644
STEP_006_DOCUMENT_INSPECTION,270,1.0725518518518518,1090.6913037037036
STEP_007_PHYSICAL_INSPECTION_COMPLETE,244,1.0923196721311477,1112.499643442623
STEP_008_LAB_TEST_COMPLETE,250,1.0575160000000001,1093.7385279999999
STEP_009_DUTY_TAX_INVOICE_ISSUED,266,1.1491052631578946,519.6684586466165
STEP_010_PAYMENT_CONFIRMED,280,1.1588178571428571,511.75282857142855
STEP_011_CLEARANCE_APPROVED,263,1.1094296577946767,653.518650190114
STEP_012_RELEASE_ORDER_ISSUED,260,1.1317307692307692,672.2151230769231
STEP_013_CARGO_RELEASED,267,1.1225430711610487,686.0993782771536
STEP_014_PORT_GATE_OUT,275,1.0936436363636364,21.19870909090909
STEP_015_HANDOFF_TO_CARRIER,255,1.1189450980392157,55.13341960784314
STEP_016_CUSTOMS_CLOSEOUT,257,1.1288015564202334,54.67270038910506
