case_id,cycle_time_min,total_process_time_min,inspection_touch_count,hold_touch_count,inspection_ratio,hold_ratio,inspection_to_release_min,hold_to_release_min,max_gap_to_next_min,inspection_heavy_flag,hold_heavy_flag,large_customs_gap_flag,exam_escalation_index
ORD_0000312750,2671.5666666666666,2671.5666666666666,2,0,0.3585474191173718,0.0,2534.883333333333,,0.0,0,1,1,0.3585474191173718
ORD_0005053777,2308.8333333333335,2308.8333333333335,2,0,0.22555403161770013,0.0,2153.4333333333334,,0.0,0,1,1,0.22555403161770013
ORD_0005511584,2836.5666666666666,2836.5666666666666,2,0,0.3050342550266167,0.0,2629.866666666667,,0.0,0,1,1,0.3050342550266167
ORD_0010926443,2115.0666666666666,2115.0666666666666,2,0,0.33677425455462395,0.0,1926.55,,0.0,0,1,1,0.33677425455462395
ORD_0015231940,2599.9,2599.9,2,0,0.307806710514507,0.0,2431.9,,0.0,0,1,1,0.307806710514507
ORD_0015850954,2981.383333333333,2981.3833333333337,2,0,0.26358010543204213,0.0,2806.883333333333,,0.0,0,1,1,0.26358010543204213
ORD_0017772566,3139.866666666667,3139.8666666666663,2,0,0.44292751284555604,0.0,2969.05,,0.0,0,1,1,0.44292751284555604
ORD_0019124482,4181.65,4181.65,2,0,0.4803885228717532,0.0,3982.0333333333333,,0.0,0,1,1,0.4803885228717532
ORD_0020802216,2957.616666666667,2957.616666666667,2,0,0.19200707777095297,0.0,2794.233333333333,,0.0,0,1,1,0.19200707777095297
ORD_0023350638,2395.3166666666666,2395.3166666666666,2,0,0.1864332482135278,0.0,2308.016666666667,,0.0,0,1,1,0.1864332482135278
ORD_0027054089,2278.15,2278.15,2,0,0.25274894102671025,0.0,2066.0,,0.0,0,1,1,0.25274894102671025
ORD_0031601088,2782.866666666667,2782.866666666667,2,0,0.35874278322113884,0.0,2657.3,,0.0,0,1,1,0.35874278322113884
ORD_0031939877,2516.15,2516.15,2,0,0.4435612609211162,0.0,2360.4,,0.0,0,1,1,0.4435612609211162
ORD_0033102991,2628.0833333333335,2628.0833333333335,2,0,0.48624155753559306,0.0,2500.7833333333333,,0.0,0,1,1,0.48624155753559306
ORD_0033309900,2622.4333333333334,2622.4333333333334,2,0,0.3342442769438054,0.0,2339.4666666666667,,0.0,0,1,1,0.3342442769438054
ORD_0033728910,2026.4833333333333,2026.4833333333333,2,0,0.2764477049733117,0.0,1883.35,,0.0,0,1,1,0.2764477049733117
ORD_0033843843,3010.4333333333334,3010.4333333333334,2,0,0.2686379590978043,0.0,2872.616666666667,,0.0,0,1,1,0.2686379590978043
ORD_0035664246,2258.116666666667,2258.116666666667,2,0,0.35917837135666153,0.0,2075.2166666666667,,0.0,0,1,1,0.35917837135666153
ORD_0039272451,3915.9666666666667,3915.9666666666667,2,0,0.19688625201099771,0.0,3801.733333333333,,0.0,0,1,1,0.19688625201099771
ORD_0042569135,3377.6,3377.6,2,0,0.3170150402652771,0.0,3223.883333333333,,0.0,0,1,1,0.3170150402652771
ORD_0043857406,2780.6833333333334,2780.6833333333334,2,0,0.4370268698940908,0.0,2640.233333333333,,0.0,0,1,1,0.4370268698940908
ORD_0044545562,3793.65,3793.65,2,0,0.4073297923284085,0.0,3620.0833333333335,,0.0,0,1,1,0.4073297923284085
ORD_0046356598,2103.65,2103.65,2,0,0.3511357244155,0.0,1945.2333333333333,,0.0,0,1,1,0.3511357244155
ORD_0047759506,2587.616666666667,2587.616666666667,2,0,0.2428296308701057,0.0,2437.5666666666666,,0.0,0,1,1,0.2428296308701057
ORD_0048229801,2947.6,2947.6,2,0,0.18850929569819513,0.0,2759.9666666666667,,0.0,0,1,1,0.18850929569819513
ORD_0051150364,3316.35,3316.35,2,0,0.30821535724516413,0.0,3149.05,,0.0,0,1,1,0.30821535724516413
ORD_0052122110,3821.633333333333,3821.633333333333,2,0,0.4645788449964675,0.0,3632.7166666666667,,0.0,0,1,1,0.4645788449964675
