case_id,cycle_time_min,document_intake_touch_count,declaration_touch_count,recheck_touch_count,document_intake_ratio,declaration_ratio,recheck_ratio,doc_to_decl_min,decl_to_release_min,multiple_doc_reviews_flag,multiple_declarations_flag,multiple_rechecks_flag,amendment_loop_depth,amendment_loop_index
ORD_0000312750,2671.5666666666666,4,1,0,0.3122325227394662,0.003867892747077246,0.0,58.483333333333334,2555.4166666666665,1,0,0,0,1.0
ORD_0005053777,2308.8333333333335,4,1,0,0.16673644697899373,0.02541687721071248,0.0,57.8,2224.5,1,0,0,0,1.0
ORD_0005511584,2836.5666666666666,4,1,0,0.23755831580431744,0.00595790685923123,0.0,67.03333333333333,2690.3166666666666,1,0,0,0,1.0
ORD_0010926443,2115.0666666666666,4,1,0,0.19365031835087942,0.01916409254239425,0.0,82.86666666666666,1986.9,1,0,0,0,1.0
ORD_0015231940,2599.9,4,1,0,0.15713424875315718,0.0057758631742246495,0.0,87.8,2458.7166666666667,1,0,0,0,1.0
ORD_0015850954,2981.383333333333,4,1,0,0.17728347579143905,0.004086469927270898,0.0,61.81666666666667,2833.2,1,0,0,0,1.0
ORD_0017772566,3139.866666666667,4,1,0,0.27606267782071425,0.003498025393859612,0.0,62.35,3014.5,1,0,0,0,1.0
ORD_0019124482,4181.65,4,1,0,0.36489184891131493,0.011004428076636416,0.0,72.41666666666667,4058.6833333333334,1,0,0,0,1.0
ORD_0020802216,2957.616666666667,4,1,0,0.09250691716866621,0.01249316735885313,0.0,65.5,2849.866666666667,1,0,0,0,1.0
ORD_0023350638,2395.3166666666666,4,1,0,0.07065175794432191,0.003743415971444277,0.0,28.616666666666667,2335.0833333333335,1,0,0,0,1.0
ORD_0027054089,2278.15,4,1,0,0.19875044809750603,0.02016987467901587,0.0,74.26666666666667,2121.1666666666665,1,0,0,0,1.0
ORD_0031601088,2782.866666666667,4,1,0,0.22590613995160863,0.005456004599573581,0.0,43.8,2691.266666666667,1,0,0,0,1.0
ORD_0031939877,2516.15,4,1,0,0.28752260397830015,0.022289344169995166,0.0,19.333333333333332,2430.1833333333334,1,0,0,0,1.0
ORD_0033102991,2628.0833333333335,4,1,0,0.39973364619336016,0.007610108761137711,0.0,42.93333333333333,2536.6,1,0,0,0,1.0
ORD_0033309900,2622.4333333333334,4,1,0,0.2349026985115605,0.014871684059334206,0.0,72.26666666666667,2473.5,1,0,0,0,1.0
