case_id,total_duration_min,document_intake_duration_min,declaration_duration_min,inspection_duration_min,hold_duration_min,recheck_duration_min,release_duration_min,inspection_touch_count,hold_touch_count,release_touch_count,document_intake_ratio,declaration_ratio,inspection_ratio,hold_ratio,recheck_ratio,release_ratio,inspection_heavy_flag,hold_heavy_flag
ORD_0000312750,2671.5666666666666,834.15,10.333333333333334,957.8833333333333,0.0,0.0,824.6333333333333,2,0,3,0.3122325227394662,0.003867892747077246,0.3585474191173718,0.0,0.0,0.30867031829014185,0,1
ORD_0005053777,2308.8333333333335,384.9666666666667,58.68333333333333,520.7666666666667,0.0,0.0,807.85,2,0,3,0.16673644697899373,0.02541687721071248,0.22555403161770013,0.0,0.0,0.3498953295315094,0,1
ORD_0005511584,2836.5666666666666,673.85,16.9,865.25,0.0,0.0,1159.25,2,0,3,0.23755831580431744,0.00595790685923123,0.3050342550266167,0.0,0.0,0.4086806820451955,0,1
ORD_0010926443,2115.0666666666666,409.58333333333337,40.53333333333333,712.3,0.0,0.0,845.7833333333333,2,0,3,0.19365031835087942,0.01916409254239425,0.33677425455462395,0.0,0.0,0.3998849524049675,0,1
ORD_0015231940,2599.9,408.53333333333336,15.016666666666667,800.2666666666667,0.0,0.0,930.1166666666667,2,0,3,0.15713424875315718,0.0057758631742246495,0.307806710514507,0.0,0.0,0.35775093913868483,0,1
ORD_0015850954,2981.3833333333337,528.55,12.183333333333334,785.8333333333334,0.0,0.0,923.1833333333334,2,0,3,0.17728347579143905,0.004086469927270898,0.26358010543204213,0.0,0.0,0.30964932385972954,0,1
ORD_0017772566,3139.8666666666663,866.8,10.983333333333333,1390.7333333333331,0.0,0.0,746.5999999999999,2,0,3,0.27606267782071425,0.003498025393859612,0.44292751284555604,0.0,0.0,0.23778079748609282,0,1
ORD_0019124482,4181.65,1525.85,46.016666666666666,2008.8166666666666,0.0,0.0,783.5666666666667,2,0,3,0.36489184891131493,0.011004428076636416,0.4803885228717532,0.0,0.0,0.18738217370336274,0,1
ORD_0020802216,2957.616666666667,273.6,36.95,567.8833333333333,0.0,0.0,1291.5833333333333,2,0,3,0.09250691716866621,0.01249316735885313,0.19200707777095297,0.0,0.0,0.43669734076424144,0,1
ORD_0023350638,2395.3166666666666,169.23333333333332,8.966666666666667,446.56666666666666,0.0,0.0,1070.15,2,0,3,0.07065175794432191,0.003743415971444277,0.1864332482135278,0.0,0.0,0.44676765076294717,0,1
ORD_0027054089,2278.15,452.78333333333336,45.95,575.8,0.0,0.0,834.0500000000001,2,0,3,0.19875044809750603,0.02016987467901587,0.25274894102671025,0.0,0.0,0.366108465202028,0,1
ORD_0031601088,2782.866666666667,628.6666666666666,15.183333333333334,998.3333333333333,0.0,0.0,1197.5,2,0,3,0.22590613995160863,0.005456004599573581,0.35874278322113884,0.0,0.0,0.430311669022351,0,1
ORD_0031939877,2516.15,723.4499999999999,56.083333333333336,1116.0666666666666,0.0,0.0,929.7666666666667,2,0,3,0.28752260397830015,0.022289344169995166,0.4435612609211162,0.0,0.0,0.36951957024289755,0,1
ORD_0033102991,2628.0833333333335,1050.5333333333333,20.0,1277.8833333333332,0.0,0.0,672.4166666666666,2,0,3,0.39973364619336016,0.007610108761137711,0.48624155753559306,0.0,0.0,0.2558581983067508,0,1
ORD_0033309900,2622.4333333333334,616.0166666666667,39.0,876.5333333333333,0.0,0.0,619.9833333333333,2,0,3,0.2349026985115605,0.014871684059334206,0.3342442769438054,0.0,0.0,0.23641528859964664,0,1
ORD_0033728910,2026.4833333333333,237.48333333333335,31.266666666666666,560.2166666666667,0.0,0.0,642.0166666666667,2,0,3,0.11718987737377559,0.015429027296877184,0.2764477049733117,0.0,0.0,0.31681319856236995,0,1
ORD_0033843843,3010.4333333333334,729.8833333333334,12.516666666666667,808.7166666666667,0.0,0.0,857.9833333333333,2,0,3,0.24245125286503608,0.004157762448373989,0.2686379590978043,0.0,0.0,0.2850032664179022,0,1
ORD_0035664246,2258.116666666667,692.0666666666667,17.5,811.0666666666667,0.0,0.0,511.40000000000003,2,0,3,0.30647958844760015,0.007749821016038438,0.35917837135666153,0.0,0.0,0.22647191243440332,0,1
ORD_0039272451,3915.9666666666667,384.6166666666666,6.2,771.0,0.0,0.0,1121.5666666666666,2,0,3,0.09821755377556839,0.0015832616893231982,0.19688625201099771,0.0,0.0,0.2864086347347185,0,1
ORD_0042569135,3377.6,849.8166666666666,11.766666666666667,1070.75,0.0,0.0,399.9166666666667,2,0,3,0.25160370282646455,0.003483735986104532,0.3170150402652771,0.0,0.0,0.11840261329543661,0,1
ORD_0043857406,2780.6833333333334,981.6333333333333,17.183333333333334,1215.2333333333333,0.0,0.0,1064.8166666666666,2,0,3,0.35301874239545433,0.0061795362051294345,0.4370268698940908,0.0,0.0,0.38293345160961634,0,1
ORD_0044545562,3793.65,737.2333333333333,13.7,1545.2666666666669,0.0,0.0,1436.9,2,0,3,0.19433351345889402,0.0036112978266313444,0.4073297923284085,0.0,0.0,0.3787645143858817,0,1
ORD_0046356598,2103.65,353.09999999999997,35.38333333333333,738.6666666666666,0.0,0.0,620.8666666666667,2,0,3,0.16785111591757182,0.016819971636599877,0.3511357244155,0.0,0.0,0.2951378160181906,0,1
ORD_0047759506,2587.616666666667,368.78333333333336,20.233333333333334,628.35,0.0,0.0,897.3,2,0,3,0.14251853378591625,0.00781929317196648,0.2428296308701057,0.0,0.0,0.34676697346979524,0,1
ORD_0048229801,2947.6,254.93333333333334,20.766666666666666,555.65,0.0,0.0,1155.7833333333333,2,0,3,0.08648844257475008,0.007045279775636676,0.18850929569819513,0.0,0.0,0.3921099651694034,0,1
