step_code,count,mean,median,max,step_label
STEP_001_DOC_RECEIVED,4286,22.866491678332558,19.983333333333334,129.75,Doc Received
STEP_002_DOC_VALIDATION,4286,14.22800979934671,12.066666666666666,119.33333333333333,Doc Validation
STEP_003_HS_CLASSIFICATION,4286,23.444439259604916,19.95,202.4,Hs Classification
STEP_004_SUBMIT_DECLARATION,4286,23.40574350598849,20.05,149.66666666666666,Submit Declaration
STEP_005_RISK_CHANNELING,4286,23.31487789702909,20.09166666666667,244.76666666666668,Risk Channeling
STEP_006_DOCUMENT_INSPECTION,4286,475.83469046508014,411.9,2435.2833333333333,Document Inspection
STEP_007_PHYSICAL_INSPECTION_COMPLETE,4286,472.55759060507074,408.9,3086.0333333333333,Physical Inspection Complete
STEP_008_LAB_TEST_COMPLETE,4286,468.0384702130969,399.75,1959.1333333333334,Lab Test Complete
STEP_009_DUTY_TAX_INVOICE_ISSUED,4286,211.53417327733706,181.30833333333334,1440.0,Duty Tax Invoice Issued
STEP_010_PAYMENT_CONFIRMED,4286,210.12827033753305,180.24166666666667,1393.8666666666666,Payment Confirmed
STEP_011_CLEARANCE_APPROVED,4286,278.2506688442993,237.45833333333331,1440.0,Clearance Approved
STEP_012_RELEASE_ORDER_ISSUED,4286,279.5928915850054,239.21666666666667,1705.55,Release Order Issued
STEP_013_CARGO_RELEASED,4286,283.3820306424016,241.20833333333331,1440.0,Cargo Released
STEP_014_PORT_GATE_OUT,4286,9.226022709597137,7.908333333333333,45.78333333333333,Port Gate Out
STEP_015_HANDOFF_TO_CARRIER,4286,23.138248561207032,19.858333333333334,129.3,Handoff To Carrier
STEP_016_CUSTOMS_CLOSEOUT,4286,23.001392129413592,20.033333333333335,232.01666666666668,Customs Closeout
