step_code,mean,std,p95,p99,missing_rate,step_label
STEP_001_DOC_RECEIVED,22.866491678332554,13.110770535985113,47.44583333333333,68.82916666666664,0.0,Doc Received
STEP_002_DOC_VALIDATION,14.22800979934671,8.96810985996033,30.15,46.13499999999992,0.0,Doc Validation
STEP_003_HS_CLASSIFICATION,23.444439259604916,14.21611049259784,48.30833333333334,69.75999999999998,0.0,Hs Classification
STEP_004_SUBMIT_DECLARATION,23.40574350598849,13.962374379953335,50.083333333333336,73.33166666666662,0.0,Submit Declaration
STEP_005_RISK_CHANNELING,23.31487789702909,14.076122397328255,49.15416666666667,71.95083333333329,0.0,Risk Channeling
STEP_006_DOCUMENT_INSPECTION,475.83469046508014,275.7464066600501,1016.9333333333334,1440.0,0.0,Document Inspection
STEP_007_PHYSICAL_INSPECTION_COMPLETE,472.55759060507074,274.140205293538,1018.5041666666666,1440.0,0.0,Physical Inspection Complete
STEP_008_LAB_TEST_COMPLETE,468.0384702130969,273.5525828538397,1034.2166666666667,1440.0,0.0,Lab Test Complete
STEP_009_DUTY_TAX_INVOICE_ISSUED,211.53417327733706,131.0131103815335,452.2375,685.2683333333318,0.0,Duty Tax Invoice Issued
STEP_010_PAYMENT_CONFIRMED,210.12827033753305,128.34828929969606,441.60833333333335,668.309166666665,0.0,Payment Confirmed
STEP_011_CLEARANCE_APPROVED,278.2506688442993,164.03289683488418,589.0666666666667,852.7283333333313,0.0,Clearance Approved
STEP_012_RELEASE_ORDER_ISSUED,279.5928915850054,168.8504952973728,593.9583333333334,880.0724999999962,0.0,Release Order Issued
STEP_013_CARGO_RELEASED,283.3820306424016,171.70627544900478,611.1916666666667,872.4191666666657,0.0,Cargo Released
STEP_014_PORT_GATE_OUT,9.226022709597137,5.315644171797836,19.383333333333333,27.591666666666605,0.0,Port Gate Out
STEP_015_HANDOFF_TO_CARRIER,23.13824856120703,13.567851813871613,49.275,67.26749999999996,0.0,Handoff To Carrier
STEP_016_CUSTOMS_CLOSEOUT,23.001392129413595,13.802094563405477,48.43333333333333,67.68499999999992,0.0,Customs Closeout
