step_code,mean,std,p95,count
STEP_001_DISPATCH_CREATED,11.596113888888889,6.883907265292796,24.833333333333332,12000
STEP_002_CARRIER_TENDERED,11.674673611111112,7.050283788619938,24.70083333333332,12000
STEP_003_TENDER_ACCEPTED,11.839270833333334,7.08001787437326,25.284166666666657,12000
STEP_004_DRIVER_ASSIGNED,11.641763888888889,6.948730451374739,24.75,12000
STEP_005_PICKUP_APPOINTMENT_SET,11.717326388888887,6.9663948155394575,24.9,12000
STEP_006_DRIVER_EN_ROUTE_PICKUP,12.651420833333333,8.65306304629126,29.050833333333323,12000
STEP_007_ARRIVE_PICKUP,11.740525,6.902377666420698,24.751666666666644,12000
STEP_008_GATE_IN_PICKUP,11.524547222222223,6.86142723890223,24.100833333333323,12000
STEP_009_WAIT_PICKUP,11.009916666666667,7.222274396484915,24.06749999999999,12000
STEP_010_LOAD_START,23.435829166666668,14.363486248052341,49.88416666666665,12000
STEP_011_LOAD_COMPLETE,23.123655555555555,14.049671003820558,48.88333333333333,12000
STEP_012_DEPART_PICKUP,11.64477361111111,7.031434602263365,24.934166666666655,12000
STEP_013_EN_ROUTE_HUB,150.23222222222222,103.00859408774127,343.42249999999996,12000
STEP_014_ARRIVE_HUB,11.598359722222224,7.082466413550252,24.633333333333333,12000
STEP_015_HUB_INBOUND_SCAN,11.755244444444443,7.142211787343907,25.06833333333331,12000
STEP_016_HUB_SORT_COMPLETE,14.080070833333334,8.986203434848237,30.334999999999976,12000
STEP_017_HUB_OUTBOUND_SCAN,11.656322222222222,7.058217143901295,24.883333333333333,12000
STEP_018_LINEHAUL_START,153.50249722222222,106.6949522527776,350.75249999999994,12000
STEP_019_IN_TRANSIT_LINEHAUL,156.12334166666668,115.28797131952672,363.2641666666665,12000
STEP_020_ARRIVE_LASTMILE_DEPOT,11.54966111111111,6.81501558551897,24.233333333333334,12000
STEP_021_LASTMILE_SORT_COMPLETE,14.163570833333333,8.795039325106698,30.06749999999999,12000
STEP_022_ROUTE_PLANNED,11.636780555555555,7.015839245620504,24.9,12000
STEP_023_OUT_FOR_DELIVERY,34.58355277777778,20.811540643402402,73.48416666666665,12000
STEP_024_DELIVERY_ATTEMPT_1,34.74505,20.935727486254013,74.4858333333333,12000
STEP_025_DELIVERED_CONFIRMED,11.6727875,7.040050082069833,24.816666666666666,12000
STEP_026_POD_UPLOADED,23.151230555555554,13.950342017525365,49.33666666666662,12000
STEP_027_RETURN_TO_DEPOT,11.58834861111111,6.883899350286967,24.81749999999999,12000
STEP_028_TRIP_CLOSEOUT,11.678883333333333,6.898552284747484,24.91916666666663,12000
STEP_029_BILLING_COMPLETE,11.596451388888887,6.872623282143242,24.534166666666657,12000
