case_id,event_count,unique_step_count,total_process_time_min,cycle_time_min,linehaul_duration_min,hub_depot_duration_min,last_mile_duration_min,linehaul_ratio,hub_depot_ratio,last_mile_ratio,delivery_attempt_count,hub_depot_touch_count,max_gap_to_next_min
ORD_0000312750,29,29,640.4333333333333,640.4333333333333,202.13333333333333,118.74999999999999,65.18333333333334,0.31561963254046743,0.18542132930828084,0.10178004476135952,2,8,0.0
ORD_0000434015,29,29,757.8333333333333,757.8333333333334,219.03333333333333,150.05,132.88333333333333,0.28902573125137454,0.1979986804486475,0.1753463822300418,2,8,0.0
ORD_0003576909,29,29,867.4833333333333,867.4833333333333,236.51666666666665,236.88333333333338,86.83333333333334,0.2726469288555015,0.27306960748525433,0.10009798459144269,2,8,0.0
ORD_0003662246,29,29,735.7166666666667,735.7166666666667,72.26666666666667,241.83333333333337,91.93333333333334,0.09822621933262352,0.32870443784971576,0.12495752440930612,2,8,0.0
ORD_0004464291,29,29,1666.1166666666666,1666.1166666666666,1004.1333333333333,375.98333333333335,90.5,0.6026788840317305,0.22566446927486072,0.05431792491522203,2,8,0.0
ORD_0005053777,29,29,928.8333333333333,928.8333333333334,211.48333333333335,410.56666666666666,51.96666666666667,0.22768706262336266,0.44202404450026916,0.05594832226807824,2,8,0.0
ORD_0005511584,29,29,757.6666666666666,757.6666666666666,256.73333333333335,236.70000000000005,91.53333333333333,0.3388473383194017,0.3124065112186538,0.12080950285965684,2,8,0.0
ORD_0006530047,29,29,712.0333333333333,712.0333333333333,169.76666666666665,232.78333333333333,61.233333333333334,0.23842516736107858,0.3269275782968962,0.08599784654276486,2,8,0.0
ORD_0010627475,29,29,556.0333333333333,556.0333333333333,149.03333333333333,143.56666666666666,42.55,0.26802949463461423,0.25819794976320365,0.07652418919729033,2,8,0.0
ORD_0010926443,29,29,630.9,630.9,174.10000000000002,181.98333333333335,59.7,0.2759549849421462,0.2884503619168384,0.09462672372800762,2,8,0.0
ORD_0011350592,29,29,658.7333333333333,658.7333333333333,235.58333333333334,187.95000000000002,45.9,0.3576308065985224,0.2853203117093412,0.0696791822690011,2,8,0.0
ORD_0012953663,29,29,750.8666666666667,750.8666666666667,303.6166666666667,198.45,60.25,0.40435496759300366,0.2642945929148539,0.08024061084968481,2,8,0.0
ORD_0013133868,29,29,757.3,757.3,143.10000000000002,323.59999999999997,79.65,0.18896078172454778,0.4273075399445398,0.10517628416743696,2,8,0.0
ORD_0014148851,29,29,884.55,884.55,371.91666666666663,225.0,51.16666666666667,0.42045861360767245,0.2543666270985247,0.05784485519944228,2,8,0.0
ORD_0014275379,29,29,801.3833333333333,801.3833333333333,359.25,183.46666666666667,36.983333333333334,0.4482873364806689,0.2289374623047647,0.04614936672004659,2,8,0.0
ORD_0015231940,29,29,689.75,689.75,238.33333333333331,147.88333333333333,54.78333333333333,0.3455358221577866,0.21440135314727557,0.07942491240787725,2,8,0.0
ORD_0015275263,29,29,631.5,631.5,183.56666666666666,151.8,68.08333333333333,0.2906835576669306,0.24038004750593825,0.10781208762206386,2,8,0.0
ORD_0015850954,29,29,1099.8333333333333,1099.8333333333333,315.7833333333333,467.15,76.55,0.28711926049401426,0.4247461736626762,0.06960145476587362,2,8,0.0
ORD_0016987134,29,29,742.6,742.6,246.76666666666665,139.96666666666667,78.13333333333333,0.33230092467905553,0.18848191040488374,0.10521590807074242,2,8,0.0
ORD_0017772566,29,29,915.8666666666667,915.8666666666667,360.6166666666667,179.61666666666667,118.33333333333333,0.39374363080506625,0.19611661086038726,0.12920366865628183,2,8,0.0
ORD_0018881361,29,29,678.0,678.0,242.63333333333333,173.75,72.78333333333333,0.35786627335299903,0.2562684365781711,0.10735004916420846,2,8,0.0
ORD_0019124482,29,29,1344.3,1344.3,295.25,600.0166666666667,159.81666666666666,0.2196310347392695,0.44634134245828067,0.11888467355996925,2,8,0.0
ORD_0020802216,29,29,757.6,757.6,252.25,211.56666666666666,65.4,0.33295934530095034,0.2792590637099613,0.08632523759239705,2,8,0.0
ORD_0022070780,29,29,570.9666666666667,570.9666666666667,117.78333333333333,189.98333333333335,102.38333333333334,0.2062875824624905,0.3327397980033861,0.17931578025570669,2,8,0.0
ORD_0022961984,29,29,1374.3666666666666,1374.3666666666666,701.7833333333333,380.15000000000003,51.28333333333333,0.5106230748708496,0.27660013096941627,0.037314156823749126,2,8,0.0
ORD_0023300112,29,29,614.0833333333334,614.0833333333334,165.68333333333334,203.60000000000002,47.08333333333333,0.26980594381869993,0.33155109241416747,0.07667254715700908,2,8,0.0
ORD_0023350638,29,29,819.8833333333333,819.8833333333333,286.3833333333333,211.48333333333332,101.76666666666667,0.34929766430183157,0.2579432033012827,0.12412335088325575,2,8,0.0
ORD_0024079966,29,29,996.3166666666666,996.3166666666667,257.1166666666667,398.46666666666664,75.71666666666667,0.2580672142391141,0.39993977818297394,0.07599658743036854,2,8,0.0
ORD_0025145155,29,29,1150.1666666666667,1150.1666666666667,644.0333333333333,229.48333333333335,54.983333333333334,0.5599478336472974,0.19952180843356035,0.04780466599043617,2,8,0.0
ORD_0026934629,29,29,722.7666666666667,722.7666666666667,270.6,132.75,76.48333333333333,0.3743946870820459,0.18366923396209012,0.10582022782825255,2,8,0.0
ORD_0027054089,29,29,733.3333333333334,733.3333333333334,178.73333333333335,285.6333333333333,74.21666666666667,0.24372727272727274,0.38949999999999996,0.10120454545454545,2,8,0.0
ORD_0028654808,29,29,727.7,727.7,224.33333333333331,202.96666666666667,60.38333333333333,0.30827722046630934,0.27891530392561037,0.08297833356236543,2,8,0.0
ORD_0029042359,29,29,858.9,858.9,393.1666666666667,203.4666666666667,46.85,0.4577560445531106,0.23689214887258903,0.05454651298172081,2,8,0.0
ORD_0029188322,29,29,822.9833333333333,822.9833333333333,446.73333333333335,129.39999999999998,69.96666666666667,0.5428218473440126,0.15723283177059072,0.08501589744628284,2,8,0.0
ORD_0029302274,29,29,863.0166666666667,863.0166666666667,244.64999999999998,299.7333333333333,68.1,0.2834823583940055,0.3473088584615978,0.07890925242849693,2,8,0.0
ORD_0029801773,29,29,695.5666666666667,695.5666666666667,244.45,158.38333333333335,86.21666666666667,0.35144007284228684,0.22770403028705613,0.12395169406239516,2,8,0.0
ORD_0030074053,29,29,913.2833333333334,913.2833333333333,347.9166666666667,221.25000000000003,87.58333333333334,0.3809515119440845,0.24225778783510046,0.09589941055167255,2,8,0.0
ORD_0031601088,29,29,548.6166666666667,548.6166666666667,166.55,159.63333333333335,48.2,0.30358173588115567,0.2909742686150014,0.08785733815353769,2,8,0.0
ORD_0031939877,29,29,760.5666666666667,760.5666666666667,323.3833333333333,177.56666666666666,51.25,0.42518736030152954,0.23346627514572466,0.06738396809396502,2,8,0.0
ORD_0032801084,29,29,714.0166666666667,714.0166666666667,190.15,220.50000000000003,44.516666666666666,0.26631031021684837,0.3088163208141734,0.062346817301183445,2,8,0.0
ORD_0033102991,29,29,804.1,804.1,182.28333333333333,153.3,172.48333333333335,0.22669236827923558,0.19064792936201966,0.21450482941591015,2,8,0.0
ORD_0033309900,29,29,930.8,930.8,439.4333333333333,248.36666666666665,35.9,0.47210285059447066,0.26683139951296375,0.03856897292651482,2,8,0.0
ORD_0033728910,29,29,1005.3333333333334,1005.3333333333334,512.35,163.18333333333334,68.16666666666667,0.5096319628647215,0.16231763925729442,0.06780503978779841,2,8,0.0
ORD_0033843843,29,29,687.5,687.5,248.35000000000002,122.21666666666665,55.916666666666664,0.3612363636363637,0.17776969696969694,0.08133333333333333,2,8,0.0
ORD_0035166345,29,29,1197.2166666666667,1197.2166666666667,606.4666666666667,279.2833333333333,53.9,0.5065638355630421,0.2332771845809029,0.04502109058510712,2,8,0.0
ORD_0035664246,29,29,966.0500000000001,966.05,456.3666666666667,199.06666666666666,55.13333333333333,0.47240480996497763,0.2060624881389852,0.05707089005054949,2,8,0.0
ORD_0036870875,29,29,689.2,689.2,216.11666666666667,145.76666666666665,54.0,0.3135761269104275,0.2115012574966144,0.0783517121300058,2,8,0.0
ORD_0037422664,29,29,994.1,994.1,353.48333333333335,300.55,71.96666666666667,0.3555812627837575,0.3023337692385072,0.07239379002783086,2,8,0.0
ORD_0037540742,29,29,701.4166666666666,701.4166666666666,315.48333333333335,115.93333333333334,56.650000000000006,0.4497802067244862,0.16528454318640848,0.08076511821314009,2,8,0.0
